0	1	2
2.A.103.1.1	Cell division protein, FtsW.  May flip lipid II (involved in cell wall synthesis) across the cytoplasmic membrane.  R145 and K153 in TMS 4 (of 10) are esesential for this transport activity (Mohammadi et al. 2014).  There is some controversy about this transport function (Young 2014; Sham et al. 2014).  See TC#2.A.66.4.3 for the alternative explanation.	Bacteria
2.A.103.1.10	Rod shape-determining protein Rod, of 424 aas and 10 TMSs.	RodA of Lacinutrix venerupis
2.A.103.1.11	Uncharacterized protein of 423 aas and 10 TMSs	UP of Bacillus marisflavi
2.A.103.1.12	FtsW/RodA/SpoVE family cell cycle protein of 439 aas and 10 TM	FtsW of Anaerobacillus alkalidiazotrophicus
2.A.103.1.2	Rod shape determining protein, RodA.  A proposed flippase for a lipid-linked disaccharide-pentapeptide cell wall precursor, but this proposal is controversial (Sham et al. 2014; Young 2014).	Bacteria
2.A.103.1.3	Sporulation protein, SpoVE.	Bacteria
2.A.103.1.4	FtsW of 524 aas	Actinobacteria
2.A.103.1.5	FtsW of 361 aas	Aquificae
2.A.103.1.6	FtsW of 385 aas	Thermotogae
2.A.103.1.7	FtsW of 448 aas and 123 TMSs	Actinobacteria
2.A.103.1.8	Cell shape-determining protein, MrdB, of 379 aas	Chlamydiae
2.A.103.1.9	Lipid flippase involved in cell envelope biogenesis, FtsW, of 456 aas and 10 TMSs (Bush et al. 2015).	FtsW of Streptomyces coelicolor
TC#	Name	Organismal Type
TC#	Name	Organismal Type
1.E.14.1.1	"LrgA holin-like protein (Bayles, 2003; Yang et al., 2005; Ranjit et al. 2011).  Functions in biofilm formation (Ranjit et al. 2011).  Calcium-chelating alizarin and other anthraquinones inhibit biofilm formation and modulate the expression of the cid/lrg genes (encoding the holin/antiholin system) (Lee et al. 2016). CidA and LrgA function as holins to support endolysin-induced lysis, and the lrgAB operon also facilitates pyruvate uptake during microaerobic and anaerobic growth (Laabei and Duggan 2022). The Staphylococcus aureus CidA and LrgA proteins are functional holins involved in the transport of by-products 
of carbohydrate metabolism (Endres et al. 2022)."	Bacteria
1.E.14.1.10	LrgA holin, involved in biofilm formation, oxidative stress and competence for DNA transfer. Regulated at the transcriptional level by the two component regulatory system, LytST (Ahn et al. 2012).	Firmicutes
1.E.14.1.11	LrgA-type holin of 136 aas and 4 TMSs	Deinococcus/Thermus
1.E.14.1.12	LrgA family holin of 118 aas and 4 TMSs	Firmicutes
1.E.14.1.13	Holin of 114 aas and 3 TMSs	Bacteroidetes
1.E.14.1.14	LrgA family holin of 129 aas and 4 TMSs	Firmicutes
1.E.14.1.15	LrgA paralogue of 120 aas	Firmicutes
1.E.14.1.16	"Putative holin of 128 aas and 4 TMSs, CidA or YwbH.  Functions in acetic acid promotion of biofilm formation (Chen et al. 2015).  Increases the activity of extracellular 
murein hydrolases probably by mediating their export via hole formation. May be inhibited by LrgB/YwbG (2.A.122.1.5)."	CidA of Bacillus subtilis
1.E.14.1.17	Putative holin (or anti-holin) of 146 aas and 4 TMSs, YsbA or LrgA.  YsbA is important for acetic acid induced biofilm formation (Chen et al. 2015) and for pyruvate utilization (van den Esker et al. 2016). van den Esker et al. 2016 proposed that YsbA is a pyruvate transporter.  Thus, there is some question about the function of this protein and other members of this family.	YsbA of Bacillus subtilis
1.E.14.1.2	"Holin, CidA (Bayles, 2003; Yang et al., 2005; Ranjit et al. 2011).  Functions in biofilm formation in part by mediating release of cytoplasmic DNA during cell lysis to contribute to the biofilm matrix (Ranjit et al. 2011; Fischer et al. 2013).  This protein contributes to cell lysis of dying cells (Patton et al. 2005).  Calcium-chelating alizarin and other anthraquinones inhibit biofilm formation and modulate the expression of the cid/lrg genes (encoding the holin/antiholin system) (Lee et al. 2016). CidA and LrgA function as holins to support endolysin-induced lysis, and the lrgAB operon also facilitates pyruvate uptake during microaerobic and anaerobic growth (Laabei and Duggan 2022). The Staphylococcus aureus CidA and LrgA proteins are functional holins involved in the transport of by-products 
of carbohydrate metabolism (Endres et al. 2022)."	Bacteria
1.E.14.1.3	Marine hydrolase exporter (MHE) (Desvaux et al. 2005).	Bacteria
1.E.14.1.4	4 TMS LrgA putative holin/anti-holin.  This protein has also been suggested to be a component of a 3-hydroxypropionate exporter, functioning together with YohK (TC# 2.A.1.122.1.1) (Nguyen-Vo et al. 2020).	Bacteria
1.E.14.1.5	4 TMS murein hydrolase exporter, LrgA-like protein	Archaea
1.E.14.1.6	4 TMS Hypothetical protein (HP)	Archaea
1.E.14.1.7	4 TMS LrgA-like protein	Bacteria
1.E.14.1.8	4 TMS holin protein	Archaea
1.E.14.1.9	CidA holin-like protein	proteobacteria
TC#	Name	Organismal Type
1.E.14.2.1	Putative archaeal holin of 145 aas and 4 TMSs	Euryarchaea
1.E.14.2.2	Putative archaeal holin of 145 aas and 4 TMSs	Euryarchaea
1.E.14.2.3	Putative holin of 194 aas and 5 TMSs	Euryarchaea
TC#	Name	Organismal Type
9.B.254.1.1	Uncharacterized protein of 767 aas and 7 TMSs.  It contains a partial DUF87 (P-loop NTP binding region) and a C-terminal DUF853 domain, also concerned with ATPase function.	UP of  Candidatus Wolfebacteria bacterium
9.B.254.1.2	Uncharacterized ATPase  protein of 661 aas with a 6 N-terminal TMS domain.	UP of Ochrovirga pacifica
9.B.254.1.3	Uncharacterized protein of 676 aas and 6 (and possibly 7 or 8) TMSs.	UP of Sinorhizobium medicae (Ensifer medicae)
9.B.254.1.4	Uncharacterized protein of 593 aas and 3 or 4 N-terminal TMSs.	UP of Cellulomonas flavigena
TC#	Name	Organismal Type
4.A.2.1.1	Fructose porter (FruAB) (fructose-1-P forming)	Bacteria
4.A.2.1.10	The FrwABCD putative transporter of unknown function. FruA is a 3-domain multiphosphoryl transfer protein: EIAni-HPr-IIAFru (Reizer et al., 1995).	Bacteria
4.A.2.1.11	The FryABC putative transporter of unknown function.  FryA is a 3-domain multiphosphoryl transfer protein: EI-HPr-IIAFru (Reizer et al., 1995).	Bacteria
4.A.2.1.12	The mannitol/glucitol transporter, MtlA (IICBAMtl) (Kumar et al., 2011)	Bacteria
4.A.2.1.13	The fructose-specific PTS Enzyme IIABC FruA (Araki et al., 2011).	Bacteria
4.A.2.1.14	Fructose Enzyme II complex (IIAFru - IIBFru - IICFru) (based on homology)	Archaea
4.A.2.1.15	"Fructose-specific PTS, PtfABC (functions with 8.A.7.1.4 and 8.A.8.1.4; Pickl et al., 2012).  The transcriptional regulation of the fructose PTS in the very similar organism, Haloferax
            mediterranei, has shown that GlpR is a transcriptional activator (Cai et al. 2014)."	Archaea
4.A.2.1.16	Fructose-specific Enzyme IIABC (Gaurivaud et al. 2000).	Bacteria
4.A.2.1.17	Fructose-specific PTS permease, FruIIBC/FruI-HPr-IIA (Johnson et al. 2008).	Proteobacteria
4.A.2.1.18	Fructose PTS Enzyme IIBC, FruA.  The gene encoding the IIA protein is an inactive pseudogene, and fructose appears to be phosphorylated by an ATP-dependent mechanism (Lee et al. 2012).	Deinococcus/Thermus
4.A.2.1.19	The tagatose-specific PTS transporter/kinase, TagIIA-TPr/TagIIB'BC (tagatose-1-P forming) (Shakeri-Garakani et al. 2004).  TagIIA-TPr is a fusion of a IIA domain fused N-terminal to an HPr domain.  TagIIB'BC has and inactive IIB' domain fused N-terminal to the active C-terminal IIBC domains.  This arrangement resembles that for the E. coli fructose Enzyme II complex.	Proteobacteria
4.A.2.1.2	"Mannitol porter (MtlA) (mannitol-1-P forming), the mannitol IICBA complex.  The enzyme-transporter has been alterred genetically, sequenced, purified, reconstituted and characterized (Jacobson et al. 1983, Leonard and Saier 1983, Lee and Saier 1983, Manayan et al. 1988). Intramolecular phosphoryl transfer between the A and B domains of IIMtl is rate-limited by chemistry and not by the rate of formation or dissociation of a stereospecific complex in
which the active sites are optimally apposed (Suh et al. 2007). Substrates, in addition to D-mannitol, include D-glucitol (D-sorbitol), D-2-amino-2-deoxymannitol, D-2-deoxymannitol and D-arabitol (D-arabinitol) (Jacobson et al. 1983)."	Bacteria
4.A.2.1.20	Chromosomal fructose Enzyme IIABC (Fru1) of 654 aas; in an operon with fructose-1-P kinase (Patron et al. 2015).	Firmictues
4.A.2.1.21	Putative fructose Enzyme II complex, Fru3; IIA (148 aas)/IIBC (464 aas) (Richards et al. 2011).	Firmicutes
4.A.2.1.22	D-allose/D-ribose transporting Enzyme II complex (Fru2; IIA/IIB/IIC) (Patron et al. 2017). This system is similar to Frz of E. coli (TC#4.A.2.1.9) which is involved in environmental sensing, host adaptation and virulence (Patron et al. 2015).  The regulatory mechanism has been studied (Patron et al. 2017).	Firmicutes
4.A.2.1.23	The tagatose-1-P-forming tagatose phosphorylating Enzyme IIA/IIBC, TagM/L (Van der Heiden et al. 2015). The product is phosphorylated by tagatose-1-P kinase (TagK), and then cleaved by tagatose-1,6-bisphosphate aldolase (GatY).	Firmicutes
4.A.2.1.24	Cryptic mannitol permease, CmtA (IICB; 462 aas; 9 - 10 TMSs) - CmtB (IIA; 147 aas.)	CmtA-CmtB of E. coli
4.A.2.1.25	Fructose-like PTS Enzyme II complex, FrvA (IIA of 148 aas) - FrvB (IIBC of 483 aas and 9 predicted TMSs) (Reizer et al. 1994).	FrvIIa/IIBC of E. coli
4.A.2.1.26	Fructose-specific Enzyme I-HPr-Enzyme IIABC complex, all encoded within a single operon with genes in the order: ptsC (IIC), ptsA (IIA), ptsH (HPr), ptsI (Enzyme I) and ptsB (IIB) (Comas et al. 2008).	Fructose Enzyme II complex including EI and HPr of Haloarcula marismortui
4.A.2.1.27	Multicomponent PTS system including all of the proteins required for mannitol (or fructose) transport and phosophorylation, MtpMtl, with the domain order of MtlCBA-PtsHI. Specificity towards mannitol was inferred from the closest homology hits in TCDB.	MtpMtl of Desulfobacterium autotrophicum HRM2
4.A.2.1.3	The 2-O-α-mannosyl D-glycerate porter (2-O-α-mannosyl D-glycerate-6-P forming), MngA (HrsA) (Sampaio et al., 2004).  The phosphorylated product is hydrolyzed to manose-6-P and glycerate by MngB, an α-mannosidase.	Bacteria
4.A.2.1.4	The fructose porter, FruA (fructose-1-P forming IIABC) (Delobbe et al. 1975) FruA is 39% identical to 4.A.2.1.1). fructose can be metabolized to Fru-1-P via this system as well as Fru-6-P by another PTS system (Gay and Delobbe 1977).	Bacteria
4.A.2.1.5	The mannitol porter (MtlA) (mannitol-1-P forming), MtlAF.  The system is encoded by the mannitol catabolic operon, mtlAFD, and is regulated by the transcription factor, MtlR (Joyet et al. 2015). MtlR contains an N-terminal helix-turn-helix motif followed by an Mga-like domain, two PTS regulatory domains (PRDs), an Enzyme IIBGat-like domain and an Enzyme IIAMtl-like domain, the last four of which can be phosphorylated by the PTS.  MtlR proteins are also found in Geobacillus stearothermophilus and Lactobacillus casei, but the mechanisms of their action are different (Joyet et al. 2015).  The dephosphorlyated form of the protein activates transcription (Heravi and Altenbuchner 2014).	Bacteria; firmicute
4.A.2.1.6	The mannose porter (ManP) (37% identical to 4.A.2.1.1). It is encoded in an operon with 3 genes:  manP-manA-yjdD, where manP codes for the IIBCA mannose transporter, manA codes for a mannose-6-P isomerase and YjdD  codes for a 5-formyltetrahydrofolate cyclo-ligase, characterized in B. anthrasis.  Expression of the operon is regulated by ManP and ManR, an activator, in response to external mannose (Sun and Altenbuchner 2010).	Bacteria
4.A.2.1.7	The fructose inducible fructose/xylitol porter, FruI (Benchabane et al., 2002; Tanzer et al., 2006; Wen et al., 2001)	Bacteria
4.A.2.1.8	The constitutive fructose porter FruC/FruD (Benchabane et al., 2002; Tanzer et al., 2006; Wen et al., 2001)	Bacteria
4.A.2.1.9	The FrzABC PTS putative transporter (promotes bacterial fitness under stress conditions and promotes fimbrial (fim) gene expression indirectly (Rouquet et al., 2009). Might transport D-tagatose, D-psicose and/or D-sorbose, or a disaccharide of these (Rouquet et al. 2009); involved in environmental sensing, host adaptation and virulence (Patron et al. 2015).	Bacteria
TC#	Name	Organismal Type
TC#	Name	Organismal Type
8.A.24.1.1	"NHERF1; NHERF-1; EBP50; SlcA3R1.  Na+/H+ exchanger regulatory factor (NHERF) proteins are a family of PSD-95/Discs-large/ZO-1
(PDZ)-scaffolding proteins, three of which (NHERFs 1-3) are localized to the brush border in kidney
and intestinal epithelial cells. All NHERF proteins are involved in anchoring membrane proteins that
contain PDZ recognition motifs to form multiprotein signaling complexes.  These NHERF proteins exhibit differential mobility in membranes (Yang et al. 2013).  Sites involved in binding to NPT2A (TC# 2.A.58.1.1) have been identified (Mamonova et al. 2015).  Dynamic structures of the full-length NHERF1 influences signaling complex assembly (Bhattacharya et al. 2019). Thus, modulation of the intrinsic flexibility of NHERF1 by disease-associated point mutations alters assembly."	Animals
8.A.24.1.10	"Golgi-associated PDZ and coiled-coil motif-containing protein, PIST or GOPC, of 462 aas and 1 possible N-terminal TMS.  The protein plays a role in intracellular protein trafficking 
and degradation, but also regulates CFTR chloride currents and acid-induced 
ASIC3 currents by modulating cell surface expression of both channels (Cheng et al. 2004; He et al. 2004). It also regulates the intracellular trafficking of the ADR1B receptor and plays a role in autophagy. Overexpression results in CFTR 
intracellular retention and degradation in the lysosomes (Cheng et al. 2002). The retention of Golgi membrane proteins can also be mediated by the Bre5p/Ubp3p deubiquitinase complex (Wang et al. 2020)."	PIST of Homo sapiens
8.A.24.1.11	CASK ser/thr protein kinase of 898 aas and 0 probable TMSs; it activates Eag (1.A.1.20.6).	Animals
8.A.24.1.12	"Glutamate receptor-interacting protein 1, GRIP1, of 1128 aas and possibly one C-terminal TMS. It may play a role as a localized scaffold for the 
assembly of multiprotein signaling complexes and as a mediator of the 
trafficking of its binding partners at specific subcellular location in 
neurons (Brückner et al. 1999).
 Through complex formation with NSG1, GRIA2 and STX12, it controls the 
intracellular fate of AMPAR and the endosomal sorting of the GRIA2 
subunit toward recycling and membrane targeting. It regulates the surface expression and synaptic stabilization of AMPARs by direct interaction with several members of the AMPAR family, and thereby  regulates synaptic plasticity in learning and memory (Tan et al. 2020)."	GRIP1 of Homo sapiens
8.A.24.1.13	"Tight Junction Protein ZO3, TJPZO3, of 919 aas and 1 moderatedly hudrophobic potential TMS near the N-terminus of the protein. Its function may overlap with that of TJPZ1 (TC# 8.A.24.1.9). With TJP2 and TJP3, it participates in the junctional retention and stability of the transcription factor DBPA. TJP1, TJP2, and TJP3 are closely related scaffolding proteins that link 
tight junction (TJ) transmembrane proteins such as claudins, junctional 
adhesion molecules, and occludin to the actin cytoskeleton (Furuse et al. 1994, Fanning et al. 1998)."	TJPZO3 of Homo sapiens
8.A.24.1.2	Solute carrier family 9, subfamily A (NHE3 cation proton antiporter 3 regulatory factor), member 3 regulator 2, SLC9A3R2, SNX27 (sorting nexin 27) or NHERF2 of 337 aas.  It binds erzin and affects dexamethasone stimulated NHE3 activity (Yang et al. 2015).  It also regulates several other transporters including CFTR (TC# 3.A.1.202.1) (Zhang et al. 2017). SNX27 directly interacts with DRA (SLC26A3; TC# 2.A.53.2.18) in early endosomes and mediates its direct recycling to facilitate high activity in lipid rafts in the apical plasma membrane (Bannert et al. 2020).	Animals
8.A.24.1.3	"Na+/H+ exchange regulatory factor (NHERF) or discs large homologue 4, PSD-95, PSD95, Dig4, Digh4 of 724 aas and 0 TMSs. Acts to stabilize and organize membrane targeting of multiple
transmembrane proteins, including many clinically relevant drug transporters. These PDZ proteins are
normally abundant at apical membranes, where they tether membrane-delimited transporters. NHERF
expression is particularly high at the apical membrane in polarized tissue such as intestinal,
hepatic, and renal epithelial tissues (Walsh et al. 2015). DLG4 or PSD95 interacts with the cytoplasmic tail of NMDA
 receptor subunits and shaker-type potassium channels and is required for 
synaptic plasticity associated with NMDA receptor signaling. 
Overexpression or depletion of DLG4 changes the ratio of excitatory to 
inhibitory synapses in hippocampal neurons. Moreover, DLG4 may reduce the amplitude of 
ASIC3 acid-evoked currents by retaining the channel intracellularly. It also
 regulates the intracellular trafficking of ADR1B and controls 
AMPA-type glutamate receptor (AMPAR) immobilization at postsynaptic 
density, keeping the channels in an activated state in the presence of 
glutamate and preventing synaptic depression.  This involves palmitoylation (Jeyifous et al. 2016). Stargazin in complex with PSD-95 or PSD-95-assembled postsynaptic 
complexes forms highly concentrated and dynamic condensates via phase 
separation, reminiscent of stargazin/PSD-95-mediated AMPAR synaptic 
clustering and trapping (Zeng et al. 2019). AMPA receptor (AMPAR) trafficking in long-term potentiation (LTP) of excitatory synaptic transmission is well established. PSD-95 captures AMPARs via an interaction with the AMPAR auxiliary subunits-transmembrane AMPAR regulatory proteins (TARPs). The TARP/PSD-95 complex is an essential interaction underlying AMPAR trafficking and LTP (Ravi et al. 2022)."	Animals
